epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,72.8233,1.22995,1.41749,1.55026,0.17001,0.33333,0.09684,0.02507,2.53763,3.30756,3.7406,0.0005942,0.0005942,0.0005942
73,73.7429,1.23915,1.39692,1.55282,0.30146,0.5,0.22942,0.04994,2.50988,3.33543,3.69059,0.0005744,0.0005744,0.0005744
74,74.6076,1.24972,1.31366,1.57473,0.30146,0.5,0.22942,0.04994,2.50988,3.33543,3.69059,0.0005546,0.0005546,0.0005546
75,75.4988,1.24697,1.39782,1.5988,0.32979,0.5,0.26046,0.06158,2.39886,3.39148,3.46462,0.0005348,0.0005348,0.0005348
76,76.4073,1.24669,1.44731,1.60233,0.49921,0.5,0.26375,0.05444,2.38588,3.15766,3.40252,0.000515,0.000515,0.000515
77,77.3439,1.12397,1.42357,1.52842,0.49334,0.4889,0.26245,0.0628,2.4355,3.07967,3.4319,0.0004952,0.0004952,0.0004952
78,78.6471,1.18891,1.35287,1.49971,0.49334,0.4889,0.26245,0.0628,2.4355,3.07967,3.4319,0.0004754,0.0004754,0.0004754
79,80.037,1.24136,1.43872,1.59049,0.39264,0.5,0.22963,0.0546,2.57271,2.82262,3.49101,0.0004556,0.0004556,0.0004556
80,81.2276,1.24912,1.53636,1.59622,0.39405,0.5,0.23219,0.06806,2.67321,2.80757,3.53092,0.0004358,0.0004358,0.0004358
81,82.3994,1.19509,1.31811,1.58331,0.37113,0.5,0.2453,0.07234,2.68299,2.58316,3.51814,0.000416,0.000416,0.000416
82,83.2765,1.19158,1.24484,1.5293,0.37113,0.5,0.2453,0.07234,2.68299,2.58316,3.51814,0.0003962,0.0003962,0.0003962
83,84.1606,1.20841,1.36467,1.52164,0.44406,0.5,0.262,0.0838,2.50189,2.66842,3.37401,0.0003764,0.0003764,0.0003764
84,85.3312,1.11961,1.25596,1.4325,0.59411,0.5,0.38578,0.12944,2.42256,2.7173,3.23947,0.0003566,0.0003566,0.0003566
85,86.3694,1.15861,1.30352,1.49659,0.69704,0.5,0.4062,0.13798,2.36091,2.67409,3.21098,0.0003368,0.0003368,0.0003368
86,87.3232,1.05382,1.2009,1.41947,0.69704,0.5,0.4062,0.13798,2.36091,2.67409,3.21098,0.000317,0.000317,0.000317
87,88.2937,1.24881,1.34212,1.5711,0.71551,0.5,0.40353,0.13429,2.35695,2.81658,3.13134,0.0002972,0.0002972,0.0002972
88,89.1718,1.16548,1.25809,1.51055,0.59136,0.48559,0.34055,0.1035,2.42425,2.59583,3.22713,0.0002774,0.0002774,0.0002774
89,90.0856,1.0746,1.24336,1.46317,0.41175,0.5,0.28365,0.08781,2.40606,2.55268,3.23672,0.0002576,0.0002576,0.0002576
90,90.9449,1.04541,1.20256,1.44686,0.41175,0.5,0.28365,0.08781,2.40606,2.55268,3.23672,0.0002378,0.0002378,0.0002378
91,94.0923,1.16325,1.48808,1.53929,0.59803,0.49672,0.33044,0.09324,2.42851,2.39357,3.3,0.000218,0.000218,0.000218
92,96.863,1.10197,1.36165,1.53848,0.57375,0.5,0.33372,0.10176,2.31849,2.42656,3.10071,0.0001982,0.0001982,0.0001982
93,97.8287,1.25293,1.85089,1.63542,0.71735,0.5,0.38561,0.11791,2.23526,2.51138,2.96388,0.0001784,0.0001784,0.0001784
94,98.6229,1.42633,1.82829,1.9241,0.71735,0.5,0.38561,0.11791,2.23526,2.51138,2.96388,0.0001586,0.0001586,0.0001586
95,99.4624,1.08862,1.34531,1.47037,0.71918,0.5,0.37752,0.12486,2.16254,2.52156,2.95899,0.0001388,0.0001388,0.0001388
96,100.518,1.14595,1.61634,1.64217,0.72606,0.5,0.3781,0.12425,2.20907,2.54086,2.99804,0.000119,0.000119,0.000119
97,101.317,0.90595,1.3138,1.41778,0.73597,0.47194,0.37779,0.11499,2.31684,2.45576,3.15379,9.92e-05,9.92e-05,9.92e-05
98,102.151,0.92198,1.31863,1.43517,0.73597,0.47194,0.37779,0.11499,2.31684,2.45576,3.15379,7.94e-05,7.94e-05,7.94e-05
99,102.959,1.03824,1.30495,1.57989,0.74694,0.49388,0.37778,0.13587,2.27918,2.53341,3.08954,5.96e-05,5.96e-05,5.96e-05
100,103.886,1.01092,1.23197,1.47211,0.74853,0.49706,0.38034,0.13486,2.23317,2.56032,3.03693,3.98e-05,3.98e-05,3.98e-05
